"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath"
"1","WX-Athens","144.85000","144.85000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","RXGLR1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0"
"10","145.2125","145.21250","145.21250","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"11","145.2250","145.22500","145.22500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"12","145.2375","145.23750","145.23750","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"13","145.2500","145.25000","145.25000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"14","145.2625","145.26250","145.26250","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"15","145.2750","145.27500","145.27500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"16","145.2875","145.28750","145.28750","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"17","145.3000","145.30000","145.30000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"18","145.3125","145.31250","145.31250","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"19","145.3250","145.32500","145.32500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"20","145.3375","145.33750","145.33750","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"21","145.3500","145.35000","145.35000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"22","145.3625","145.36250","145.36250","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"23","145.3750","145.37500","145.37500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"24","145.3875","145.38750","145.38750","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"25","145.4000","145.40000","145.40000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"26","145.4125","145.41250","145.41250","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"27","145.4250","145.42500","145.42500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"28","145.4375","145.43750","145.43750","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"29","145.1450","145.14500","145.14500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"30","145.4625","145.46250","145.46250","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"31","145.7150","145.71500","145.71500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"32","145.4875","145.48750","145.48750","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"33","145.5000","145.50000","145.50000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"34","145.5125","145.51250","145.51250","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
