"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","438.81250","431.21250","1","Slot1","SW1F-202"
"2","438.63750","431.03750","1","Slot1","SW1J-202"
"10","438.63750","431.03750","1","Slot1","SW2A-202"
"11","438.93750","431.33750","1","Slot1","SW2G-202"
"12","438.83750","431.23750","1","Slot1","SV2K-202"
"13","438.98750","431.38750","1","Slot1","SW2L-202"
"14","439.30000","431.70000","1","Slot1","SW2J-202"
"15","438.83750","431.23750","1","Slot1","SV2U-202"
"30","439.23750","431.63750","1","Slot1","SV3O-202"
"31","438.83750","431.23750","1","Slot1","SV3P-202"
"32","438.71250","431.11250","1","Slot1","SV3U-202"
"33","439.22500","431.62500","1","Slot1","Test Tripoli-202"
"40","439.28750","431.68750","1","Slot1","SV4R-202"
"41","438.78750","431.18750","1","Slot1","SV4T-202"
"42","438.73750","431.13750","1","Slot1","SZ4The-202"
"50","438.86250","431.26250","1","Slot1","SV5F-202"
"51","438.76250","431.16250","1","Slot1","SV5H-202"
"52","438.83750","431.23750","1","Slot1","SV5Te-202"
"60","438.96250","431.36250","1","Slot1","SV6N-202"
"70","438.15000","430.55000","1","Slot1","SV7O-202"
"71","439.31250","431.71250","1","Slot1","SV7P-202"
"72","438.96250","431.36250","1","Slot1","SZ7DAK-202"
"80","439.25000","431.65000","1","Slot1","SW8N-202"
"81","438.93750","431.33750","1","Slot1","SW8P-202"
"82","438.76250","431.16250","1","Slot1","SW8S-202"
"83","438.76250","431.16250","1","Slot1","SW8T-202"
"84","438.91250","431.31250","1","Slot1","SW8W-202"
"85","438.96250","431.36250","1","Slot1","SW8X-202"
"86","438.67500","431.07500","1","Slot1","SW8R-202"
"90","438.68750","431.08750","1","Slot1","SV9J-202"
"91","439.03750","431.43750","1","Slot1","SV9O-202"
"111","438.81250","431.21250","1","Slot2","SW1F-9"
"112","438.63750","431.03750","1","Slot2","SW1J-9"
"120","438.63750","431.03750","1","Slot2","SW2A-9"
"121","438.93750","431.33750","1","Slot2","SW2G-9"
"122","438.83750","431.23750","1","Slot2","SV2K-9"
"123","438.98750","431.38750","1","Slot2","SW2L-9"
"124","439.30000","431.70000","1","Slot2","SW2J-9"
"125","438.83750","431.23750","1","Slot2","SV2U-9"
"130","439.23750","431.63750","1","Slot2","SV3O-9"
"131","438.83750","431.23750","1","Slot2","SV3P-9"
"132","438.71250","431.11250","1","Slot2","SV3U-9"
"133","439.22500","431.62500","1","Slot2","Test Tripoli-9"
"140","439.28750","431.68750","1","Slot2","SV4R-9"
"141","438.78750","431.18750","1","Slot2","SV4T-9"
"142","438.73750","431.13750","1","Slot2","SZ4The-9"
"150","438.86250","431.26250","1","Slot2","SV5F-9"
"151","438.76250","431.16250","1","Slot2","SV5H-9"
"152","438.83750","431.23750","1","Slot2","SV5Te-9"
"160","438.96250","431.36250","1","Slot2","SV6N-9"
"170","438.15000","430.55000","1","Slot2","SV7O-9"
"171","439.31250","431.71250","1","Slot2","SV7P-9"
"172","438.96250","431.36250","1","Slot2","SZ7DAK-9"
"180","439.25000","431.65000","1","Slot2","SW8N-9"
"181","438.93750","431.33750","1","Slot2","SW8P-9"
"182","438.76250","431.16250","1","Slot2","SW8S-9"
"183","438.76250","431.16250","1","Slot2","SW8T-9"
"184","438.91250","431.31250","1","Slot2","SW8W-9"
"185","438.96250","431.36250","1","Slot2","SW8X-9"
"186","438.67500","431.07500","1","Slot2","SW8R-2028"
"190","438.68750","431.08750","1","Slot2","SV9J-9"
"191","439.03750","431.43750","1","Slot2","SV9O-9"
