"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"1","Weather Athens","WX-Athens","144.85000","144.85000","WX-Athens","144.85000","144.85000","WX-Athens","144.85000","144.85000","0"
"2","SimplexVHF Analo","145.2125|145.2250|145.2375|145.2500|145.2625|145.2750|145.2875|145.3000|145.3125|145.3250|145.3375|145.3500|145.3625|145.3750|145.3875|145.4000|145.4125|145.4250|145.4375|145.4500|145.4625|145.7150|145.4875|145.5125|145.5250|145.5375|145.5500|145.6250","145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.31250|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.45000|145.46250|145.71500|145.48750|145.51250|145.52500|145.53750|145.55000|145.62500","145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.31250|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.45000|145.46250|145.71500|145.48750|145.51250|145.52500|145.53750|145.55000|145.62500","145.2125","145.21250","145.21250","145.4000","145.40000","145.40000","0"
"3","SimplexUHF Analo","433.4000|433.4125|433.4250|433.4375|433.4500|433.4625|433.4750|433.5000 CA|433.5125|433.5250|433.5375|433.5500|433.5625|433.5750","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.4000","433.40000","433.40000","433.5000 CA","433.50000","433.50000","0"
"4","SimplexVHF Digit","145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.31250|145.32500|145.33750 CA|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.14500|145.46250|145.71500|145.48750|145.50000|145.51250|145.52500|145.53750|145.55000|145.62500","145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.31250|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.14500|145.46250|145.71500|145.48750|145.50000|145.51250|145.52500|145.53750|145.55000|145.62500","145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.31250|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.14500|145.46250|145.71500|145.48750|145.50000|145.51250|145.52500|145.53750|145.55000|145.62500","145.21250","145.21250","145.21250","145.21250","145.21250","145.21250","0"
"5","SimplexUHF Digit","433.40000|433.41250|433.42500|433.43750|433.45000 CA|433.46250|433.47500|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.40000","433.40000","433.40000","433.40000","433.40000","433.40000","0"
"6","PMR EUR","PMR EUR CH01|PMR EUR CH02|PMR EUR CH03|PMR EUR CH04|PMR EUR CH05|PMR EUR CH06|PMR EUR CH07|PMR EUR CH08|PMR EUR CH09|PMR EUR CH10|PMR EUR CH11|PMR EUR CH12|PMR EUR CH13|PMR EUR CH14|PMR EUR CH15|PMR EUR CH16","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375","PMR EUR CH05","446.05625","446.05625","PMR EUR CH02","446.01875","446.01875","0"
"7","PMR USA","PMR USA CH01|PMR USA CH02|PMR USA CH03|PMR USA CH04|PMR USA CH05|PMR USA CH06|PMR USA CH07|PMR USA CH08|PMR USA CH09|PMR USA CH10|PMR USA CH11|PMR USA CH12|PMR USA CH13|PMR USA CH14|PMR USA CH15|PMR USA CH16|PMR USA CH17|PMR USA CH18|PMR USA CH19|PMR USA CH20|PMR USA CH21|PMR USA CH22","462.56250|462.58750|462.61250|462.63750|462.66250|462.68750|462.71250|467.56250|467.58750|467.61250|467.63750|467.66250|467.68750|467.71250|462.55000|462.57500|462.60000|462.62500|462.65000|462.67500|462.70000|462.72500","462.56250|462.58750|462.61250|462.63750|462.66250|462.68750|462.71250|467.56250|467.58750|467.61250|467.63750|467.66250|467.68750|467.71250|462.55000|462.57500|462.60000|462.62500|462.65000|462.67500|462.70000|462.72500","PMR USA CH01","462.56250","462.56250","PMR USA CH02","462.58750","462.58750","0"
"8","LPD","LPD 1|LPD 2|LPD 3|LPD 4|LPD 5|LPD 6|LPD 7|LPD 8|LPD 9|LPD 10|LPD 11|LPD 12|LPD 13|LPD 14|LPD 15|LPD 16|LPD 17|LPD 18|LPD 19|LPD 20|LPD 21|LPD 22|LPD 23|LPD 24|LPD 25|LPD 26|LPD 27|LPD 28|LPD 29|LPD 30|LPD 31|LPD 32|LPD 33|LPD 34|LPD 35|LPD 36|LPD 37|LPD 38|LPD 39|LPD 40|LPD 41|LPD 42|LPD 43|LPD 44|LPD 45|LPD 46|LPD 47|LPD 48|LPD 49|LPD 50|LPD 51|LPD 52|LPD 53|LPD 54|LPD 55|LPD 56|LPD 57|LPD 58|LPD 59|LPD 60|LPD 61|LPD 62|LPD 63|LPD 64|LPD 65|LPD 66|LPD 67|LPD 68|LPD 69","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000|434.32500|434.35000|434.37500|434.40000|434.42500|434.45000|434.47500|434.50000|434.52500|434.55000|434.57500|434.60000|434.62500|434.65000|434.67500|434.70000|434.72500|434.75000|434.77500","433.07500|433.10000|433.12500|433.15000|433.17500|433.20000|433.22500|433.25000|433.27500|433.30000|433.32500|433.35000|433.37500|433.40000|433.42500|433.45000|433.47500|433.50000|433.52500|433.55000|433.57500|433.60000|433.62500|433.65000|433.67500|433.70000|433.72500|433.75000|433.77500|433.80000|433.82500|433.85000|433.87500|433.90000|433.92500|433.95000|433.97500|434.00000|434.02500|434.05000|434.07500|434.10000|434.12500|434.15000|434.17500|434.20000|434.22500|434.25000|434.27500|434.30000|434.32500|434.35000|434.37500|434.40000|434.42500|434.45000|434.47500|434.50000|434.52500|434.55000|434.57500|434.60000|434.62500|434.65000|434.67500|434.70000|434.72500|434.75000|434.77500","LPD 1","433.07500","433.07500","LPD 2","433.10000","433.10000","0"
"9","MARINE","MARINE 1|MARINE 2|MARINE 3|MARINE 4|MARINE 5|MARINE 6|MARINE 7|MARINE 8|MARINE 9|MARINE 10|MARINE 11|MARINE 12|MARINE 13|MARINE 14|MARINE 15|MARINE 16|MARINE 17|MARINE 18|MARINE 19|MARINE 20|MARINE 21|MARINE 22|MARINE 23|MARINE 24|MARINE 25|MARINE 26|MARINE 27|MARINE 28|MARINE 60|MARINE 61|MARINE 62|MARINE 63|MARINE 64|MARINE 65|MARINE 66|MARINE 67|MARINE 68|MARINE 69|MARINE 70|MARINE 71|MARINE 72|MARINE 73|MARINE 74|MARINE 75|MARINE 76|MARINE 77|MARINE 78|MARINE 79|MARINE 80|MARINE 81|MARINE 82|MARINE 83|MARINE 84|MARINE 85|MARINE 86|MARINE 87|MARINE 88|MARINE 01A|MARINE 05A|MARINE 07A|MARINE 18A|MARINE 19A|MARINE 20A|MARINE 21A|MARINE 22A|MARINE 23A|MARINE 63A|MARINE 65A|MARINE 66A|MARINE 78A|MARINE 79A|MARINE 80A|MARINE 81A|MARINE 82A|MARINE 83A","160.65000|160.70000|160.75000|160.80000|160.85000|156.30000|160.95000|156.40000|156.45000|156.50000|156.55000|156.60000|156.65000|156.70000|156.75000|156.80000|156.85000|161.50000|161.55000|161.60000|161.65000|161.70000|161.75000|161.80000|161.85000|161.90000|161.95000|162.00000|160.62500|160.67500|160.72500|160.77500|160.82500|160.87500|160.92500|156.37500|156.42500|156.47500|156.52500|156.57500|156.62500|156.67500|156.72500|156.77500|156.82500|156.87500|161.52500|161.57500|161.62500|161.67500|161.72500|161.77500|161.82500|161.87500|161.92500|161.97500|162.02500|156.05000|156.25000|156.35000|156.90000|156.95000|157.00000|157.05000|157.10000|157.15000|156.17500|156.27500|156.32500|156.92500|156.97500|157.02500|157.07500|157.12500|157.17500","156.05000|156.10000|156.15000|156.20000|156.25000|156.30000|156.35000|156.40000|156.45000|156.50000|156.55000|156.60000|156.65000|156.70000|156.75000|156.80000|156.85000|156.90000|156.95000|157.00000|157.05000|157.10000|157.15000|157.20000|157.25000|157.30000|157.35000|157.40000|156.02500|156.07500|156.12500|156.17500|156.22500|156.27500|156.32500|156.37500|156.42500|156.47500|156.52500|156.57500|156.62500|156.67500|156.72500|156.77500|156.82500|156.87500|156.92500|156.97500|157.02500|157.07500|157.12500|157.17500|157.22500|157.27500|157.32500|157.37500|157.42500|156.05000|156.25000|156.35000|156.90000|156.95000|157.00000|157.05000|157.10000|157.15000|156.17500|156.27500|156.32500|156.92500|156.97500|157.02500|157.07500|157.12500|157.17500","MARINE 60","160.62500","156.02500","MARINE 60","160.62500","156.02500","0"
"10","GMRS","GMRS 04|GMRS 05|GMRS RP1|GMRS RP2|GMRS RP3","444.51250|444.97500|460.81250|450.80000|450.82500","444.51250|444.97500|450.81250|460.80000|460.82500","GMRS 04","444.51250","444.51250","WX-Athens","144.85000","144.85000","0"
"11","SSTV","SSTV UHF|SSTV ISS","433.40000|145.80000","433.00000|145.80000","SSTV ISS","145.80000","145.80000","SSTV UHF","433.40000","433.00000","0"
"12","ISS","ISS VHF|ISS UHF","145.80000|437.55000","145.20000|437.55000","ISS VHF","145.80000","145.20000","ISS UHF","437.55000","437.55000","0"
"13","DMR RP Athina","SW1F-202|SW1F-9|SV1N-202|SV1N-9|SV1N-2021|SW1N 202|SW1N 2021","438.81250|438.81250|439.35000|439.35000|439.35000|439.30000|439.30000","431.21250|431.21250|431.75000|431.75000|431.75000|431.70000|431.70000","SW1F-202","438.81250","431.21250","SW1F-9","438.81250","431.21250","0"
"14","DMR RP Ster.Ell.","SW1J-202|SW1J-9|SW8T-202|SW8T-9","438.63750|438.63750|438.76250|438.76250","431.03750|431.03750|431.16250|431.16250","SW1J-202","438.63750","431.03750","SW1J-9","438.63750","431.03750","0"
"15","DMR RP Pelopon","SV3U-202|SV3U-9|SV3P-202|SV3P-9","438.71250|438.71250|438.83750|438.83750","431.11250|431.11250|431.23750|431.23750","SV3U-202","438.71250","431.11250","SV3U-9","438.71250","431.11250","0"
